ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,ImageLink
118,Battle ropes,"Battle ropes build shoulder endurance and conditioning.",Strength,Shoulders,Other,Intermediate,8.6,Average,https://i.pinimg.com/originals/8a/3b/2c/8a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
119,Standing face pull,"The face pull builds rear delts and upper back.",Strength,Shoulders,Cable,Intermediate,8.4,Average,https://i.pinimg.com/originals/1b/2a/3c/1b2a3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
120,Machine shoulder press,"The machine shoulder press builds the deltoids.",Strength,Shoulders,Machine,Intermediate,8.9,Average,https://i.pinimg.com/originals/3c/1a/2b/3c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
121,Handstand push-up,"The handstand push-up builds shoulder strength.",Strength,Shoulders,Body Only,Intermediate,8.7,Average,https://i.pinimg.com/originals/5d/3a/2b/5d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
122,Triceps dip,"The triceps dip builds the triceps and chest.",Strength,Triceps,Body Only,Intermediate,9.4,Average,https://i.pinimg.com/originals/7a/1b/2c/7a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
123,Weighted bench dip,"The weighted bench dip builds the triceps.",Strength,Triceps,Body Only,Intermediate,9.1,Average,https://i.pinimg.com/originals/9c/2a/1b/9c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
124,Push-Ups - Close Triceps Position,"Close push-ups emphasize the triceps.",Strength,Triceps,Body Only,Intermediate,9.0,Average,https://i.pinimg.com/originals/2d/1a/3b/2d1a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
125,Parallel Bar Dip,The dip builds the triceps and chest.,Strength,Triceps,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/4f/3a/2b/4f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
126,Ring dip,"The ring dip builds upper-body strength and stability.",Strength,Triceps,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/6b/1a/2c/6b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
127,Bench dip,"The bench dip builds the triceps.",Strength,Triceps,Body Only,Intermediate,,https://i.pinimg.com/originals/8d/3a/2b/8d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
128,Decline EZ-bar skullcrusher,"The skullcrusher builds the triceps.",Strength,Triceps,E-Z Curl Bar,Intermediate,9.3,Average,https://i.pinimg.com/originals/1a/2b/3c/1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
129,EZ-Bar Skullcrusher,"The EZ-bar skullcrusher builds the triceps.",Strength,Triceps,E-Z Curl Bar,Intermediate,9.0,Average,https://i.pinimg.com/originals/3b/2a/1c/3b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
130,Cable V-bar push-down,"The V-bar push-down builds the triceps.",Strength,Triceps,Cable,Intermediate,9.1,Average,https://i.pinimg.com/originals/5c/1a/2b/5c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
131,Reverse Grip Triceps Pushdown,"The reverse-grip pushdown builds the triceps.",Strength,Triceps,Cable,Intermediate,9.0,Average,https://i.pinimg.com/originals/7e/3a/2b/7e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
132,Triceps Pushdown,"The triceps pushdown builds arm strength.",Strength,Triceps,Cable,Intermediate,8.6,Average,https://i.pinimg.com/originals/9f/1a/2b/9f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
133,Cable rope push-down,"The rope push-down builds the triceps.",Strength,Triceps,Cable,Intermediate,,https://i.pinimg.com/originals/2c/3a/1b/2c3a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
134,Dumbbell floor press,"The floor press builds the triceps and chest.",Powerlifting,Triceps,Dumbbell,Intermediate,9.3,Average,https://i.pinimg.com/originals/4a/2b/1c/4a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
135,Seated triceps press,"The seated triceps press builds the triceps.",Strength,Triceps,Dumbbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/6c/1a/2b/6c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
136,Tricep Dumbbell Kickback,"The kickback builds the triceps.",Strength,Triceps,Dumbbell,Intermediate,8.8,Average,https://i.pinimg.com/originals/8b/3a/2c/8b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
137,Dumbbell skullcrusher,"The dumbbell skullcrusher builds the triceps.",Strength,Triceps,Dumbbell,Intermediate,8.4,Average,https://i.pinimg.com/originals/1d/2a/3b/1d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
138,Tate Press,"The Tate press builds the triceps.",Strength,Triceps,Dumbbell,Beginner,8.1,Average,https://i.pinimg.com/originals/3d/1a/2b/3d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
139,Machine Triceps Extension,The machine triceps extension builds the triceps.,Strength,Triceps,Machine,Intermediate,7.4,Average,https://i.pinimg.com/originals/5a/2b/1c/5a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
140,Incline EZ-bar skullcrusher,"The incline skullcrusher builds the triceps.",Strength,Triceps,Barbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/7b/1a/2c/7b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
141,Behind-the-head skullcrusher,"The behind-the-head skullcrusher builds the triceps.",Strength,Triceps,Barbell,Intermediate,8.7,Average,https://i.pinimg.com/originals/9a/3b/2c/9a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
142,Standing barbell overhead triceps extension,"The overhead extension builds the long head of the triceps.",Strength,Triceps,Barbell,Intermediate,8.6,Average,https://i.pinimg.com/originals/2b/3a/1c/2b3a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
143,Reverse-grip bench press,"The reverse-grip press targets the upper chest and triceps.",Strength,Triceps,Barbell,Intermediate,8.3,Average,https://i.pinimg.com/originals/4c/2a/1b/4c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
144,Floor Press,"The floor press builds the triceps and lockout strength.",Powerlifting,Triceps,Barbell,Beginner,8.3,Average,https://i.pinimg.com/originals/6d/3a/2b/6d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
145,Band overhead triceps press,"The band overhead press builds the triceps.",Strength,Triceps,Bands,Intermediate,,https://i.pinimg.com/originals/8c/1a/2b/8c1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
146,Band skullcrusher,"The band skullcrusher builds the triceps.",Strength,Triceps,Bands,Intermediate,,https://i.pinimg.com/originals/1f/3a/2b/1f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
147,Thigh adductor,"The adductor machine targets the inner thighs.",Strength,Adductors,Machine,Intermediate,9.0,Average,https://i.pinimg.com/originals/3a/2c/1b/3a2c1b2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
148,Thigh abductor,"The abductor machine targets the outer hips.",Strength,Abductors,Machine,Intermediate,8.2,Average,https://i.pinimg.com/originals/5b/3a/2c/5b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
149,Band Hip Adductions,,Strength,Adductors,Bands,Beginner,8.6,Average,https://i.pinimg.com/originals/7c/2a/1b/7c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
150,Lateral Band Walk,,Strength,Abductors,Bands,Intermediate,0.0,,https://i.pinimg.com/originals/9d/3a/2b/9d3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
